artist_id,name,gender,birth_date,birth_place,nationality,description,country,region,province,latitude,longitude,active_start,active_end
1,99 posse,M,,,,gruppo musicale italiano,,,,0.0,0.0,1991-01-01,
2,achille lauro,M,1990-07-11,Verona,Italia,cantautore e rapper italiano (1990-),Italia,Veneto,Verona,45.4424977,10.9857377,2012-01-01,
3,alfa,M,2000-08-22,Genova,Italia,,Italia,Liguria,Genova,0.0,0.0,,
4,anna pepe,F,2003-08-15,La Spezia,Italia,,Italia,Liguria,La Spezia,0.0,0.0,,
5,articolo 31,M,,,,gruppo musicale hip hop italiano,,,,0.0,0.0,1990-01-01,
6,babaman,M,1975-08-08,Rho,Italia,cantante italiano,Italia,Lombardia,Milano,45.528878,9.04156,,
7,baby k,F,1983-02-05,Singapore,Italia,cantautrice e rapper italiana (1983-),,,,45.0806268,7.6707168,2007-01-01,
8,bassi maestro,M,1973-08-03,Milano,Italia,"rapper, disc jockey, beatmaker e produttore discografico italiano",Italia,Lombardia,Milano,45.4641943,9.1896346,1988-01-01,
9,beba,F,,Torino,Italia,cognome,Italia,Piemonte,Torino,0.0,0.0,,
10,bigmama,F,2000-03-10,Avellino,Italia,,Italia,Campania,Avellino,0.0,0.0,2001-01-01,
11,brusco,M,1974-01-04,Roma,Italia,cognome,Italia,Lazio,Roma,0.0,0.0,,
12,bushwaka,M,,,,,,,,0.0,0.0,,
13,caneda,M,1976-09-30,Milano,Italia,cognome,Italia,Lombardia,Milano,0.0,0.0,,
14,caparezza,M,1973-10-09,Sternatia,Italia,"rapper, cantautore e produttore discografico italiano (1973-)",Italia,Puglia,Lecce,40.222125,18.225226,1996-01-01,
15,capo plaza,M,1998-04-20,Salerno,Italia,rapper italiano (1998-),Italia,Campania,Salerno,40.4194416,15.3106085,,
16,chadia rodriguez,F,1998-11-07,Almería,Italia,rapper italiana (1998-),Italia,Liguria,Genova,44.4194958,8.9234821,,
17,clementino,M,1982-12-21,Avellino,Italia,rapper e attore italiano (1982-),Italia,Campania,Avellino,40.9965446,15.140569,,
18,club dogo,M,,,,gruppo musicale italiano,,,,0.0,0.0,,
19,coez,M,1983-07-11,Nocera Inferiore,Italia,cantautore e rapper italiano (1983-),Italia,Campania,Salerno,40.7472133,14.6433202,2002-01-01,
