album_id,title,release_date,album_type
AL000001,FOREVER AND EVER,2021-04-09,album
AL000002,OKAY OKAY 2,2025-05-16,single
AL000003,FOREVER,2020-05-28,album
AL000004,MADE IN ITALY,2023-02-09,single
AL000005,POLKA 3,2022-06-02,single
AL000006,Facciamolo,2019-06-07,single
AL000007,BV3,2020-10-02,album
AL000008,Fatass,2019-09-20,single
AL000009,OKAY OKAY !!,2019-03-08,album
AL000010,#digitalcity,2022-05-05,album
AL000011,ALIENO,2020-01-17,single
AL000012,BELLU GUAGLIONE,2023-05-18,single
AL000013,I RAGAZZI STANNO BENE,2023-07-14,album
AL000014,3SOME (feat. VillaBanks),2024-06-19,single
AL000015,LA BELLAVITA,2025-03-28,album
AL000016,non è normale,2022-11-03,single
AL000017,COMINCIA TU (feat. Rosa Chemical),2022-02-05,single
AL000018,BLACKOUT,2024-02-29,single
AL000019,Cultura Italiana Pt.1,2024-05-31,album
AL000020,Kournikova,2018-11-12,single
AL000021,NoRd,2021-05-14,album
AL000022,Dead Again,2007-03-13,album
AL000023,Reversed Crash,2023-06-09,album
AL000024,WE 2FLY,2024-08-02,single
AL000025,The Execution Of All Things,2002-10-01,album
AL000026,ShapeShifters,2008-06-17,album
AL000027,Spaccio di Verità 1,2023-10-06,single
AL000028,"TRASHBIN, Vol. 3",2020-07-23,album
AL000029,Groupie,2018-12-11,single
AL000030,KG0516,2021-03-26,album
AL000031,Male O Bene,2019-05-24,single
AL000032,"Red Bull 64 Bars, The Album",2021-05-27,compilation
AL000033,Grizzly,2017-10-27,single
AL000034,Morosita,2019-02-13,single
AL000035,3nd,2018-02-14,single
AL000036,Crisalide,2021-10-21,album
AL000037,Vaniglia,2017-10-20,single
AL000038,1 2 3,2024-05-10,single
AL000039,TONICA,2019-10-02,single
AL000040,444,2024-01-04,single
AL000041,Chicas,2018-06-22,single
AL000042,BANDA,2018-04-23,single
AL000043,Fenty,2017-10-27,single
AL000044,Introduction,2022-10-28,album
AL000045,AIRBNB,2020-11-11,single
AL000046,Roberta,2019-12-12,single
AL000047,Cringe,2020-07-23,single
AL000048,SUPERSEX (feat. Spender),2024-06-14,single
AL000049,Regole,2022-06-23,single
AL000050,family first,2021-08-19,single
AL000051,Luga Pandemic,2023-01-01,single
AL000052,Dentro di me,2024-02-23,single
AL000053,Come Le Storie,2020-06-23,single
AL000054,Intro,2021-08-19,single
AL000055,X2VR,2023-11-17,album
AL000056,Maracucho Bueno Muere Chiquito,2018-03-16,album
AL000057,Black Panther The Album Music From And Inspired By,2018-02-09,album
AL000058,La prima volta,2025-02-07,single
AL000059,Mood Blu,2024-04-05,single
AL000060,99 Visions,2023-12-05,album
AL000061,Rolling Papers (feat. Tormento),2025-04-04,single
AL000062,Motel Love,2024-06-21,album
AL000063,in fieri,2022-12-12,single
AL000064,Giù,2022-07-01,album
AL000065,Sale,2025-04-04,single
AL000066,VERA BADDIE,2024-06-27,album
AL000067,Eclissi,2022-05-12,album
AL000068,Limonare,2023-07-28,single
AL000069,Electra Heart (Deluxe),2012-04-27,album
AL000070,il filo rosso,2024-10-18,single
AL000071,Before Wanderlust,2019-12-13,album
AL000072,SANTANA MONEY GANG,2025-04-10,album
AL000073,a me mi piace (feat. Manu Chao),2025-05-09,single
AL000074,"Sogna, Ragazzo, Sogna",2024-03-06,single
AL000075,Non so chi ha creato il mondo ma so che era innamorato,2024-02-16,album
AL000076,bellissimissima <3,2023-05-12,single
AL000077,Prima O Poi,2018-04-26,single
AL000078,Non so chi ha creato il mondo ma so che era innamorato (Deluxe),2025-05-30,album
AL000079,È FINITA LA PACE,2024-12-13,album
AL000080,Santa Fe,2023-09-24,single
AL000081,CI SARÒ,2021-09-24,single
AL000082,Happy Birthday,2021-12-09,single
AL000083,PARIGI,2022-03-04,single
AL000084,Confusion,2024-10-16,single
AL000085,PARIGI RMX,2022-03-25,single
AL000086,Serenata (From ''Forever Out of My League''),2022-01-31,single
AL000087,Le Cose In Comune,2023-02-24,single
AL000088,You Make Me So Happy,2022-06-10,single
AL000089,5 MINUTI,2022-11-28,single
AL000090,2nd Exit,2016-09-13,album
AL000091,NO MONEY,2019-06-19,single
AL000092,SuperNOVA,2020-09-18,album
AL000093,Cerco un posto,2022-10-07,single
AL000094,Stelletella,2021-04-01,single
AL000095,Sotto una pioggia di parole,2009-05-22,album
AL000096,Viajo Sin Ver (Remix),2018-08-31,single
AL000097,Jet Lag,2017-08-14,single
AL000098,Papillon,2025-02-01,single
AL000099,Messias,2016-02-05,album
AL000100,ZÉPECK,2024-07-12,album
AL000101,L'Alfabeto Degli Amanti,2006-02-28,album
AL000102,Les plus belles polyphonies Corses (Les plus grandes polyphonies de Corses),2014-11-24,album
AL000103,SIRIO,2022-04-07,album
AL000104,Alfa Y Omega,2025-01-11,album
AL000105,Demoni,2025-02-04,single
AL000106,23 6451,2019-11-15,album
AL000107,c@ra++ere s?ec!@le,2022-09-30,album
AL000108,sFaCioLaTe miXTaPe,2024-07-26,album
AL000109,CASA GOSPEL,2024-12-13,album
AL000110,SE ME HACE EASY,2024-02-15,single
AL000111,URAGANO DAMN,2023-12-15,single
AL000112,Purpose,2020-09-17,single
AL000113,L.A.,2014-11-29,single
AL000114,Purple Thasup,2023-09-22,single
