id,title,primary_artist,youtube_video_id
TR934808,​polka 2 :-/,Rosa Chemical,qJjP-ALYQpg
TR760029,POLKA,Rosa Chemical,hhOdwmnHzM8
TR916821,​britney ;-),Rosa Chemical,76Zny0XaV6Q
TR480968,CEO,Rosa Chemical,8mPkLiUT2pM
TR585039,LONDRA,Rosa Chemical,NNOMd2rB9wQ
TR550335,BOHEME,Rosa Chemical,F4s_vgjtfqw
TR170793,LOBBY WAY,Rosa Chemical,8PG49r5gWys
TR627195,SLATT,Rosa Chemical,BMFj-TMXSAw
TR628871,MADE IN ITALY,Rosa Chemical,UQuoY73tUsw
TR700756,ROSE & ROVI,Rosa Chemical,2-e0T22y8AA
TR570242,POLKA 3,Rosa Chemical,vu8DDbY0jZA
TR483404,COSANOSTRA,Rosa Chemical,xQ0CYOAlEJo
TR497808,NUOVI GAY,Rosa Chemical,qy3WjssWPis
TR355495,OCCHIO E CROCE,Rosa Chemical,XPu2-PrN0fs
TR736423,​life :-(,Rosa Chemical,VG4W_bBYVRw
TR718221,RAF SIMONS,Rosa Chemical,ZZjZ1v3IoRA
TR181361,SLIME,Rosa Chemical,cVxIfPzI7RA
TR950471,TU MI FAI,Rosa Chemical,wfbHxqGOhRY
TR562453,PARADISO,Rosa Chemical,_F4WQGY2hGk
TR851752,​no love :-),Rosa Chemical,J_JKZzyrGa4
TR387150,​fantasmi ;-(,Rosa Chemical,K2vZl_L88B0
TR968851,Facciamolo,Rosa Chemical,4QpvoZJdkO0
TR634516,Freestyle #redbullnext #essemagazine,Rosa Chemical,slDFFKdUUQg
TR292151,Scolapasta,Rosa Chemical,YJ4N7ZSBpCo
TR709513,#IORESTOACASA Freestyle,Rosa Chemical,slDFFKdUUQg
TR804827,Fatass,Rosa Chemical,qy3WjssWPis
TR889630,Ok ok pih roh toh toh !,Rosa Chemical,S9_x_zt023k
TR701720,Exodia / 1tot,Rosa Chemical,dNdLQq7XpGM
TR933222,Ramoscelli,Rosa Chemical,dGTCnvEfKpM
TR242610,Sono Io !!,Rosa Chemical,dv1Nyt1sP00
TR383343,Rovesciata,Rosa Chemical,Yuzb1uqa4Sw
TR127960,ceo 2,Rosa Chemical,8mPkLiUT2pM
TR792261,Lil Peep,Rosa Chemical,hcSdb0Nlfw0
TR692137,ABC,Rosa Chemical,OSuKPLKP8a0
TR344681,ALIENO,Rosa Chemical,RN4RSiW7sYs
TR945862,Teschio,Rosa Chemical,65AYaCPuHvI
TR266736,Mattonelle*,Rosa Chemical,hhOdwmnHzM8
TR972244,BELLU GUAGLIONE,Rosa Chemical,9YfQXsAyoNE
TR998208,Acqua Panna,Rosa Chemical,10FdwUrGKmA
TR628388,AIDS FREESTYLE,Rosa Chemical,uML3Djt_Zl8
TR885356,0.25X,Rosa Chemical,xzJCuu-9rUM
