region;streams_local;streams_tot_mood;mood;streams_others;ratio
Sicilia;549602;549602;;0;0
;153406;1607252;Boom Bap/Classic Hip Hop;1453846;0,10551736566321329
Calabria;16183;1607252;Boom Bap/Classic Hip Hop;1591069;1,0171149082786478E-2
Campania;185079;1607252;Boom Bap/Classic Hip Hop;1422173;0,13013817587593071
Emilia-Romagna;15472;1607252;Boom Bap/Classic Hip Hop;1591780;9,7199361720840816E-3
Lazio;64620;1607252;Boom Bap/Classic Hip Hop;1542632;4,1889446089540476E-2
Lombardia;755050;1607252;Boom Bap/Classic Hip Hop;852202;0,88599885942534751
Marche;81996;1607252;Boom Bap/Classic Hip Hop;1525256;5,3758844416937221E-2
Piemonte;50091;1607252;Boom Bap/Classic Hip Hop;1557161;3,2168157306791012E-2
Puglia;86232;1607252;Boom Bap/Classic Hip Hop;1521020;5,6693534601780386E-2
Sardegna;121528;1607252;Boom Bap/Classic Hip Hop;1485724;8,1797157480124172E-2
Sicilia;44897;1607252;Boom Bap/Classic Hip Hop;1562355;2,8736746770100265E-2
Veneto;32698;1607252;Boom Bap/Classic Hip Hop;1574554;2,0766515470412573E-2
;1156240;15478848;Cloud Rap/Experimental;14322608;8,0728314284661012E-2
Calabria;5797;15478848;Cloud Rap/Experimental;15473051;3,7465138581912512E-4
Campania;2477147;15478848;Cloud Rap/Experimental;13001701;0,19052483978827078
Emilia-Romagna;44858;15478848;Cloud Rap/Experimental;15433990;2,9064422096943174E-3
Lazio;1830128;15478848;Cloud Rap/Experimental;13648720;0,1340878851643231
Liguria;870453;15478848;Cloud Rap/Experimental;14608395;5,9585806654324447E-2
Lombardia;4592516;15478848;Cloud Rap/Experimental;10886332;0,42186073325707868
Marche;595479;15478848;Cloud Rap/Experimental;14883369;4,0009691354155094E-2
Piemonte;521682;15478848;Cloud Rap/Experimental;14957166;3,4878398755486165E-2
Puglia;1210263;15478848;Cloud Rap/Experimental;14268585;8,4820113557160709E-2
Sardegna;504750;15478848;Cloud Rap/Experimental;14974098;3,3708207332421629E-2
Sicilia;969146;15478848;Cloud Rap/Experimental;14509702;0,0667929637700347
Toscana;56550;15478848;Cloud Rap/Experimental;15422298;3,6667687266839222E-3
Veneto;643839;15478848;Cloud Rap/Experimental;14835009;4,3399973670390092E-2
;2647524;61763796;Club/Party Rap;59116272;4,4785029746124722E-2
Calabria;100198;61763796;Club/Party Rap;61663598;0,00162491329163115
Campania;7454816;61763796;Club/Party Rap;54308980;0,13726672826482839
Emilia-Romagna;628665;61763796;Club/Party Rap;61135131;1,0283203613320139E-2
Lazio;5679586;61763796;Club/Party Rap;56084210;0,10126889546986576
Liguria;4035769;61763796;Club/Party Rap;57728027;6,9910045600553777E-2
Lombardia;25376745;61763796;Club/Party Rap;36387051;0,69741142254149702
Marche;2077645;61763796;Club/Party Rap;59686151;3,4809498773006826E-2
Piemonte;1031253;61763796;Club/Party Rap;60732543;0,01698023743217866
Puglia;1631419;61763796;Club/Party Rap;60132377;2,7130459186737288E-2
Sardegna;3638206;61763796;Club/Party Rap;58125590;6,2592156053813824E-2
Sicilia;3705035;61763796;Club/Party Rap;58058761;6,3815261231633932E-2
Toscana;29514;61763796;Club/Party Rap;61734282;4,7808120616029841E-4
Trentino-Alto Adige;5869;61763796;Club/Party Rap;61757927;9,5032334877432012E-5
Veneto;3721552;61763796;Club/Party Rap;58042244;6,4117989649056295E-2
;1936355;36598335;Introspective Rap;34661980;0,05586394660662778
Calabria;116101;36598335;Introspective Rap;36482234;3,1823983147523257E-3
Campania;4890773;36598335;Introspective Rap;31707562;0,15424626466077715
Emilia-Romagna;121385;36598335;Introspective Rap;36476950;3,327717915012083E-3
