album_id,title,release_date,album_type
AL000001,FOREVER AND EVER,2021-04-09,album
AL000002,OKAY OKAY !! - EP,2025-05-16,single
AL000003, Festival di Sanremo 2023,2023-02-09,single
AL000004,,2022-06-02,single
AL000005,OKAY OKAY 2 - EP,2025-05-16,single
AL000006,Paranoise Mixtape,2007-03-13,album
AL000007,One Take FM Free Mic - Season 6,2008-06-17,album
"AL000008,""RED BULL 64 BARS, The Album"",2021-05-27,compilation"
AL000009,Crisalide,2021-10-21,album
AL000010,Joker Mixtape,2021-08-19,single
AL000011,Non so chi ha creato il mondo ma so che era innamorato (Deluxe),2024-10-18,single
AL000012,Before Wanderlust,2019-12-13,album
AL000013,NoRd,2021-05-14,album
AL000014,Alfa-Omega,2025-04-10,album
AL000015,Mondo Immobile Mixtape,2020-09-18,album
AL000016,23 6451,2019-11-15,album
AL000017,c@ra++ere s?ec!@le,2022-09-30,album
AL000018,CASA GOSPEL,2024-12-13,album
AL000019,HOTEL MONTANA (Deluxe),2023-09-01,album
AL000020,LOCURA,2024-11-26,album
AL000021,Re Mida: Aurum,2019-03-01,album
AL000022,Zzala,2017-04-14,album
AL000023,J,2020-07-16,album
AL000024,SIRIO,2022-04-07,album
AL000025,SIRIO (Concertos),2022-12-15,album
AL000026,K1 Mixtape,2024-09-13,single
AL000027,Digital Jungle Mixtape,2017-09-05,single
AL000028,BLOCCO 181 - ORIGINAL SOUNDTRACK,2022-05-27,album
AL000029,Esse Magazine Freestyle,2019-05-03,album
AL000030,Destiny Mixtape,2020-09-18,album
AL000031,LOCURA (Jam),2025-06-04,album
AL000032,LOCURA (Opera),2025-06-05,album
AL000033,Max,2017-05-19,album
AL000034,Gemini,2019-06-14,album
AL000035,MAXTAPE,2021-05-12,album
AL000036,Entertainer,2018-05-25,album
AL000037,Numero Zero - EP,2014-11-28,single
AL000038,Hyper,2017-03-16,single
AL000039,BRAVA GENTE EXTRA,2023-06-02,album
AL000040,Hyper 2 ,2018-04-27,album
AL000041,Hyp3r,2019-02-08,album
AL000042,N Mixtape,2016-02-22,album
AL000043,PENKILLER,2025-05-23,album
AL000044,DM EP,2020-04-29,single
AL000045,100k EP,2015-01-27,single
AL000046,Sopra Il Beat Sta In Alto Mixtape Vol. 1,2014-11-28,single
AL000047,Raggasonico,2010-10-12,album
AL000048,Come un uragano,2006-06-28,album
AL000049,Monkee Bizniz Vol. 4,2019-08-09,single
AL000050,Prima Di Partire,2004-01-01,album
AL000051,Soul Food,2018-08-17,album
AL000052,Dinamite,2008-04-15,album
AL000053,Riddim Boy Addict (artist: Babaman),2011-04-20,compilation
AL000054,Riddim Maniac ,2025-04-10,album
AL000055,La Nuova Era,2012-06-19,album
AL000056,Vibrazioni Positive,2015-09-25,album
AL000057,È LA VIBE (VIBE) - EP,2024-05-17,single
AL000058,V per Ventidue,2025-03-07,single
AL000059,Gentleman - Red Version,2017-06-30,album
AL000060,Mr. Fini,2020-11-26,album
AL000061,Bravo Ragazzo (Royal Edition),2013-01-01,album
AL000062,Fastlife 4,2021-04-08,album
AL000063,Vero - 10 Anni Dopo,2015-06-23,album
AL000064,Madreperla,2023-01-13,album
AL000065,Sinatra ,2018-11-29,album
AL000066,Guengsta Rap,2011-01-01,album
AL000067,GVESVS,2021-12-10,album
AL000068,Tropico Del Capricorno,2025-01-10,album
AL000069,Gelida Estate - EP,2019-06-21,single
AL000070,Gentleman - Blue Version,2017-09-22,album
AL000071,Il Ragazzo D’Oro: 10 Anni Dopo,2011-01-01,album
AL000072,Vero (Royal Edition),2015-11-27,album
AL000073,Fastlife Mixtape Vol. 1,2019-09-12,album
AL000074,Fastlife Mixtape Vol. 2 - Faster Life,2014-05-27,album
AL000075,Fastlife Mixtape Vol. 3,2014-01-01,album
AL000076,KG,2025-05-29,album
AL000077,Double Dragon Mixtape,2008-02-11,single
AL000078,Oh Mio Dio! - EP,2013-01-01,album
AL000079,Rimo Da Quando,2022-05-27,album
AL000080,Hashishinz Sound Vol. 1 - EP,2014-11-24,single
AL000081,PMC vs Club Dogo - The Official Mixtape ,2017-06-30,album
