date_id,full_date,year,month,day,quarter,season
0,1900-01-01,0,0,0,0,Unknown
20210402,2021-04-02,2021,4,2,2,Spring
20200306,2020-03-06,2020,3,6,1,Spring
20210219,2021-02-19,2021,2,19,1,Winter
20190308,2019-03-08,2019,3,8,1,Spring
20200529,2020-05-29,2020,5,29,2,Spring
20200521,2020-05-21,2020,5,21,2,Spring
20200417,2020-04-17,2020,4,17,2,Spring
20230208,2023-02-08,2023,2,8,1,Winter
20220603,2022-06-03,2022,6,3,2,Summer
20190607,2019-06-07,2019,6,7,2,Summer
20190207,2019-02-07,2019,2,7,1,Winter
20190416,2019-04-16,2019,4,16,2,Spring
20200313,2020-03-13,2020,3,13,1,Spring
20190920,2019-09-20,2019,9,20,3,Autumn
20190114,2019-01-14,2019,1,14,1,Winter
20250516,2025-05-16,2025,5,16,2,Spring
20180615,2018-06-15,2018,6,15,2,Summer
20190710,2019-07-10,2019,7,10,3,Summer
20200117,2020-01-17,2020,1,17,1,Winter
20200000,2020-01-01,2020,0,0,0,Unknown
20230519,2023-05-19,2023,5,19,2,Spring
20191230,2019-12-30,2019,12,30,4,Winter
20240621,2024-06-21,2024,6,21,2,Summer
20201225,2020-12-25,2020,12,25,4,Winter
20221104,2022-11-04,2022,11,4,4,Autumn
20190813,2019-08-13,2019,8,13,3,Summer
20200407,2020-04-07,2020,4,7,2,Spring
20240301,2024-03-01,2024,3,1,1,Spring
20181220,2018-12-20,2018,12,20,4,Winter
20181205,2018-12-05,2018,12,5,4,Winter
20181112,2018-11-12,2018,11,12,4,Autumn
20200124,2020-01-24,2020,1,24,1,Winter
20200610,2020-06-10,2020,6,10,2,Summer
20151117,2015-11-17,2015,11,17,4,Autumn
20150907,2015-09-07,2015,9,7,3,Autumn
20250502,2025-05-02,2025,5,2,2,Spring
20151126,2015-11-26,2015,11,26,4,Autumn
20151122,2015-11-22,2015,11,22,4,Autumn
20151102,2015-11-02,2015,11,2,4,Autumn
20160127,2016-01-27,2016,1,27,1,Winter
20250522,2025-05-22,2025,5,22,2,Spring
20151129,2015-11-29,2015,11,29,4,Autumn
20250505,2025-05-05,2025,5,5,2,Spring
20181211,2018-12-11,2018,12,11,4,Winter
20180306,2018-03-06,2018,3,6,1,Spring
20190524,2019-05-24,2019,5,24,2,Spring
20210528,2021-05-28,2021,5,28,2,Spring
20161024,2016-10-24,2016,10,24,4,Autumn
20190213,2019-02-13,2019,2,13,1,Winter
20180214,2018-02-14,2018,2,14,1,Winter
20211022,2021-10-22,2021,10,22,4,Autumn
20171013,2017-10-13,2017,10,13,4,Autumn
20240510,2024-05-10,2024,5,10,2,Spring
20191002,2019-10-02,2019,10,2,4,Autumn
20180607,2018-06-07,2018,6,7,2,Summer
20180622,2018-06-22,2018,6,22,2,Summer
20180423,2018-04-23,2018,4,23,2,Spring
20170313,2017-03-13,2017,3,13,1,Spring
