track_id,album_id,date_id,sound_id,virality_id,main_artist_id,streams_1month,popularity
TR000001,ALB115557,20210402,1,1,84,186522,46.0
TR000002,ALB115557,20200306,2,2,84,194313,46.0
TR000003,ALB115557,20210219,3,1,84,63750,39.0
TR000004,ALB730959,20190308,4,3,84,41473,47.0
TR000005,ALB436151,20200529,5,1,84,30553,41.0
TR000006,ALB436151,20200521,6,1,84,29687,29.0
TR000007,ALB436151,20200417,7,3,84,24103,23.0
TR000008,ALB436151,20200529,8,3,84,30838,24.0
TR000009,ALB672657,20230208,9,2,84,20522,50.0
TR000010,ALB436151,20200529,10,3,84,20741,27.0
TR000011,ALB632366,20220603,11,1,84,14401,40.0
TR000012,ALB436151,20200529,12,3,84,17799,25.0
TR000013,ALB436151,20200529,13,3,84,16490,21.0
TR000014,ALB436151,20200529,14,3,84,11654,23.0
TR000015,ALB115557,20210402,15,3,84,11083,26.0
TR000016,ALB436151,20200529,16,3,84,10994,21.0
TR000017,ALB436151,20200529,17,3,84,11572,22.0
TR000018,ALB436151,20200529,18,3,84,11741,23.0
TR000019,ALB436151,20200529,19,3,84,10864,21.0
TR000020,ALB115557,20210402,20,4,84,9540,23.0
TR000021,ALB115557,20210402,21,3,84,10107,25.0
TR000022,ALB485122,20190607,22,3,84,7237,21.0
TR000023,ALB730959,20190207,23,3,84,6825,47.0
TR000024,ALB898686,20190416,24,3,84,4798,48.0
TR000025,ALB898686,20200313,25,3,84,4926,48.0
TR000026,ALB639623,20190920,26,3,84,5585,11.0
TR000027,ALB270182,20190308,27,4,84,4409,17.0
TR000028,ALB270182,20190308,28,4,84,5044,19.0
TR000029,ALB270182,20190308,29,4,84,5197,17.0
TR000030,ALB270182,20190308,30,4,84,4104,19.0
TR000031,ALB270182,20190114,31,4,84,5228,18.0
TR000032,ALB730959,20250516,32,3,84,4354,47.0
TR000033,ALB692479,20180615,33,4,84,4140,21.0
TR000034,ALB898686,20190710,34,3,84,5915,48.0
TR000035,ALB272551,20200117,35,3,84,5947,10.0
TR000036,ALB270182,20190308,36,4,84,5630,14.0
TR000037,ALB898686,20200000,37,2,84,4623,48.0
TR000038,ALB894810,20230519,38,1,84,4207,41.0
TR000039,ALB765476,20180615,39,4,84,5383,0.0
TR000040,ALB898686,20191230,40,4,84,4893,48.0
TR000041,ALB730959,20250516,41,4,84,4255,41.0
TR000042,ALB931361,20240621,42,3,84,5003,31.0
TR000043,ALB538879,20201225,43,4,84,4080,70.0
TR000044,ALB352571,20221104,44,3,84,5836,27.0
TR000045,ALB730959,20250516,45,4,84,4531,44.0
TR000046,ALB214026,20180615,46,2,84,5339,51.0
TR000047,ALB730959,20250516,47,4,84,4636,37.0
TR000048,ALB898686,20190813,48,4,84,5054,48.0
TR000049,ALB730959,20250516,49,4,84,5108,36.0
TR000050,ALB898686,20200407,50,4,84,4381,48.0
TR000051,ALB758409,20240301,51,4,84,5955,21.0
TR000052,ALB730959,20250516,52,4,84,5565,34.0
TR000053,ALB141795,20181220,53,4,84,5896,47.0
TR000054,ALB898686,20181205,54,4,84,5807,48.0
TR000055,ALB622240,20181112,55,2,84,5207,6.0
TR000056,ALB190631,20200124,56,2,84,5860,38.0
TR000057,ALB898686,20200610,57,4,84,4188,48.0
TR000058,ALB991433,20151117,58,1,84,4405,44.0
TR000059,ALB898686,20150907,59,3,84,4103,48.0
TR000060,ALB720191,20151117,60,4,84,4664,5.0
TR000061,ALB132593,20250502,61,4,84,4791,61.0
TR000062,ALB436151,20180615,62,4,84,4555,24.0
TR000063,ALB898686,20151126,63,4,84,5675,48.0
TR000064,ALB272993,20151122,64,5,84,4727,34.0
TR000065,ALB898686,20151102,65,4,84,4576,48.0
TR000066,ALB190631,20160127,66,5,84,5100,38.0
TR000067,ALB271215,20250522,67,3,84,4294,2.0
TR000068,ALB300834,20151129,68,2,84,5622,23.0
TR000069,ALB262355,20181205,69,4,84,4161,40.0
TR000070,ALB214026,20250505,70,4,84,5991,51.0
TR000071,ALB372767,20181211,71,2,9,26270,36.0
TR000072,ALB148515,20180306,72,4,9,17723,58.0
TR000073,ALB761176,20190524,73,1,9,14967,33.0
TR000074,ALB670345,20210528,74,1,9,20603,37.0
TR000075,ALB435554,20161024,75,1,9,18546,22.0
TR000076,ALB645749,20190213,76,1,9,17466,30.0
TR000077,ALB869745,20180214,77,1,9,15735,25.0
TR000078,ALB667746,20211022,78,1,9,11748,37.0
TR000079,ALB805210,20171013,79,1,9,13318,19.0
TR000080,ALB872173,20240510,80,3,9,9595,37.0
TR000081,ALB937261,20191002,81,1,9,12481,31.0
TR000082,ALB306927,20180607,82,3,9,11338,1.0
TR000083,ALB602776,20180622,83,3,9,6848,17.0
TR000084,ALB225880,20180423,84,3,9,5785,18.0
TR000085,ALB293946,20170313,85,3,9,6435,17.0
TR000086,ALB701679,20190110,86,4,9,6104,15.0
TR000087,ALB667746,20211022,87,3,9,5473,21.0
TR000088,ALB667746,20210430,88,1,9,5291,28.0
TR000089,ALB667746,20211022,89,3,9,5791,23.0
TR000090,ALB989588,20201112,90,3,9,4955,20.0
TR000091,ALB106684,20191213,91,3,9,4251,23.0
TR000092,ALB563442,20200724,92,1,9,5442,23.0
TR000093,ALB844169,20240614,93,3,9,5537,32.0
TR000094,ALB667746,20211022,94,3,9,5136,16.0
TR000095,ALB667746,20210910,95,3,9,5558,24.0
TR000096,ALB667746,20211022,96,3,9,5001,17.0
TR000097,ALB667746,20211022,97,3,9,5059,37.0
TR000098,ALB667746,20211022,98,3,9,4866,16.0
TR000099,ALB667746,20211022,99,4,9,4061,14.0
TR000100,ALB302921,20220624,100,3,9,4226,22.0
TR000101,ALB785547,20190416,101,3,9,4075,2.0
TR000102,ALB667746,20211022,102,3,9,5286,19.0
TR000103,ALB667746,20211022,103,4,9,4640,12.0
TR000104,ALB564654,20200315,104,3,9,5031,5.0
TR000105,ALB667746,20211022,105,4,9,5830,14.0
TR000106,ALB667746,20211022,106,3,9,4511,15.0
TR000107,ALB192625,20240223,107,3,9,4835,25.0
TR000108,ALB153532,20200624,108,3,9,5527,19.0
TR000109,ALB983900,20151113,109,5,9,4471,13.0
TR000110,ALB901542,20151113,110,4,9,4168,59.0
TR000111,ALB406845,20191202,111,4,9,4593,40.0
TR000112,ALB864581,20151113,112,4,9,4336,55.0
TR000113,ALB318872,20250207,113,4,9,5875,30.0
TR000114,ALB974244,20240405,114,3,9,5631,25.0
TR000115,ALB462989,20200507,115,3,9,5281,5.0
TR000116,ALB792793,20250404,116,4,9,5757,36.0
TR000117,ALB969394,20151113,117,4,9,5621,0.0
TR000118,ALB660715,20151113,118,4,9,4388,32.0
TR000119,ALB424885,20151113,119,4,9,5801,56.0
TR000120,ALB283137,20151113,120,1,9,5094,11.0
TR000121,ALB438257,20151113,121,4,9,5632,66.0
TR000122,ALB249800,20151113,122,4,9,5810,63.0
TR000123,ALB564654,20200315,123,3,9,4648,5.0
TR000124,ALB163472,20230728,124,3,9,4230,17.0
TR000125,ALB873501,20151113,125,4,9,4469,47.0
TR000126,ALB602874,20241018,126,2,3,91830,68.0
TR000127,ALB218228,20190524,127,2,3,74091,68.0
TR000128,ALB472683,20200521,128,6,3,33175,57.0
TR000129,ALB563208,20170910,129,3,3,21717,71.0
TR000130,ALB677618,20250509,130,2,3,25356,75.0
TR000131,ALB105629,20240306,131,6,3,21558,61.0
TR000132,ALB218228,20190319,132,6,3,17348,57.0
TR000133,ALB472683,20200716,133,1,3,13083,52.0
TR000134,ALB127934,20230929,134,1,3,11366,52.0
TR000135,ALB152467,20230512,135,2,3,14168,70.0
TR000136,ALB772523,20180426,136,4,3,8371,36.0
TR000137,ALB218228,20191011,137,2,3,8531,49.0
TR000138,ALB472683,20210514,138,3,3,8837,53.0
TR000139,ALB472683,20210422,139,1,3,7205,38.0
TR000140,ALB127934,20240207,140,2,3,7238,68.0
TR000141,ALB218228,20191129,141,1,3,6948,48.0
TR000142,ALB472683,20201112,142,1,3,5053,58.0
TR000143,ALB218228,20180308,143,1,3,5413,47.0
TR000144,ALB218228,20191213,144,6,3,4614,38.0
TR000145,ALB870495,20250530,145,3,3,4583,63.0
TR000146,ALB870495,20250530,146,3,3,4085,56.0
TR000147,ALB870495,20240216,147,1,3,5235,73.0
TR000148,ALB218228,20191213,148,3,3,5020,34.0
TR000149,ALB127934,20240216,149,3,3,4115,46.0
TR000150,ALB306943,20171014,150,5,3,4570,75.0
TR000151,ALB218228,20181008,151,1,3,5833,42.0
TR000152,ALB291183,20210419,152,1,3,4492,5.0
TR000153,ALB127934,20240216,153,1,3,4303,64.0
TR000154,ALB663365,20210901,154,1,3,4994,62.0
TR000155,ALB978644,20190117,155,1,3,5990,73.0
TR000156,ALB472683,20210514,156,3,3,4496,43.0
TR000157,ALB537063,20220304,157,1,3,5360,46.0
TR000158,ALB126052,0,158,4,3,5539,0.0
TR000159,ALB916862,20220325,159,4,3,4487,41.0
TR000160,ALB117763,20220131,160,3,3,5472,42.0
TR000161,ALB472683,20210514,161,3,3,4750,58.0
TR000162,ALB805273,20230224,162,1,3,5280,59.0
TR000163,ALB480572,20220610,163,1,3,5282,50.0
TR000164,ALB127934,20240216,164,1,3,5086,49.0
