track_id,artist_id,role
TR000001,84,Main
TR000001,31,Featured
TR000001,43,Featured
TR000002,84,Main
TR000002,105,Featured
TR000003,84,Main
TR000003,59,Featured
TR000003,106,Featured
TR000004,84,Main
TR000004,107,Featured
TR000005,84,Main
TR000005,81,Featured
TR000006,84,Main
TR000007,84,Main
TR000008,84,Main
TR000008,22,Featured
TR000009,84,Main
TR000010,84,Main
TR000011,84,Main
TR000012,84,Main
TR000013,84,Main
TR000014,84,Main
TR000015,84,Main
TR000016,84,Main
TR000017,84,Main
TR000017,108,Featured
TR000018,84,Main
TR000018,109,Featured
TR000019,84,Main
TR000020,84,Main
TR000021,84,Main
TR000022,84,Main
TR000023,84,Main
TR000024,84,Main
TR000025,84,Main
TR000026,84,Main
TR000027,84,Main
TR000028,84,Main
TR000029,84,Main
TR000030,84,Main
TR000031,84,Main
TR000032,84,Main
TR000032,110,Featured
TR000033,84,Main
TR000034,84,Main
TR000035,84,Main
TR000036,84,Main
TR000037,84,Main
TR000038,84,Main
TR000039,84,Main
TR000040,84,Main
TR000041,84,Main
TR000042,84,Main
TR000042,111,Featured
TR000043,84,Main
TR000044,84,Main
TR000045,84,Main
TR000045,112,Featured
TR000046,84,Main
TR000047,84,Main
TR000048,84,Main
TR000049,84,Main
TR000050,84,Main
TR000051,84,Main
TR000052,84,Main
TR000053,84,Main
TR000054,84,Main
TR000055,84,Main
TR000056,84,Main
TR000057,84,Main
TR000058,84,Main
TR000059,84,Main
TR000059,113,Featured
TR000060,84,Main
TR000061,84,Main
TR000062,84,Main
TR000063,84,Main
TR000064,84,Main
TR000065,84,Main
TR000066,84,Main
TR000066,114,Featured
TR000067,84,Main
TR000067,115,Featured
TR000067,112,Featured
TR000067,110,Featured
TR000068,84,Main
TR000069,84,Main
TR000070,84,Main
TR000071,9,Main
TR000072,9,Main
TR000073,9,Main
TR000073,54,Featured
TR000074,9,Main
TR000075,9,Main
TR000076,9,Main
TR000077,9,Main
TR000078,9,Main
TR000079,9,Main
TR000080,9,Main
TR000081,9,Main
TR000082,9,Main
TR000083,9,Main
TR000084,9,Main
TR000085,9,Main
TR000086,9,Main
TR000087,9,Main
TR000088,9,Main
TR000089,9,Main
TR000090,9,Main
TR000091,9,Main
TR000092,9,Main
TR000092,116,Featured
TR000093,9,Main
TR000093,117,Featured
TR000094,9,Main
TR000095,9,Main
TR000095,102,Featured
TR000096,9,Main
TR000096,118,Featured
TR000097,9,Main
TR000097,119,Featured
TR000098,9,Main
TR000098,63,Featured
TR000099,9,Main
TR000099,120,Featured
TR000100,9,Main
TR000101,9,Main
TR000102,9,Main
TR000103,9,Main
TR000104,9,Main
TR000105,9,Main
TR000106,9,Main
TR000107,9,Main
TR000108,9,Main
TR000109,9,Main
TR000110,9,Main
TR000111,9,Main
TR000112,9,Main
TR000112,121,Featured
TR000113,9,Main
TR000114,9,Main
TR000115,9,Main
TR000116,9,Main
TR000116,100,Featured
TR000117,9,Main
TR000118,9,Main
TR000119,9,Main
TR000120,9,Main
TR000121,9,Main
TR000122,9,Main
TR000123,9,Main
TR000124,9,Main
TR000125,9,Main
TR000126,3,Main
TR000127,3,Main
TR000128,3,Main
TR000129,3,Main
TR000129,122,Featured
TR000129,123,Featured
TR000130,3,Main
TR000131,3,Main
TR000131,124,Featured
TR000132,3,Main
TR000133,3,Main
TR000134,3,Main
TR000135,3,Main
TR000136,3,Main
TR000136,125,Featured
TR000137,3,Main
TR000138,3,Main
TR000138,126,Featured
TR000138,122,Featured
TR000139,3,Main
TR000139,84,Featured
TR000140,3,Main
TR000141,3,Main
TR000142,3,Main
TR000142,127,Featured
TR000143,3,Main
TR000144,3,Main
TR000145,3,Main
TR000146,3,Main
TR000147,3,Main
TR000148,3,Main
TR000149,3,Main
TR000150,3,Main
TR000151,3,Main
TR000152,3,Main
TR000152,84,Featured
TR000153,3,Main
TR000154,3,Main
TR000155,3,Main
TR000156,3,Main
TR000156,128,Featured
TR000157,3,Main
TR000158,3,Main
TR000159,3,Main
TR000159,129,Featured
TR000160,3,Main
TR000161,3,Main
TR000162,3,Main
TR000163,3,Main
TR000163,130,Featured
TR000164,3,Main
TR000165,3,Main
TR000166,3,Main
TR000167,3,Main
TR000167,111,Featured
TR000168,3,Main
TR000169,3,Main
TR000170,3,Main
TR000171,3,Main
TR000172,3,Main
TR000173,3,Main
TR000174,3,Main
TR000175,3,Main
TR000176,3,Main
TR000177,3,Main
TR000178,3,Main
TR000179,3,Main
TR000180,3,Main
TR000181,3,Main
TR000182,3,Main
TR000183,3,Main
TR000184,3,Main
TR000185,3,Main
TR000186,3,Main
TR000187,3,Main
TR000188,3,Main
TR000189,3,Main
TR000190,3,Main
TR000191,3,Main
TR000192,3,Main
TR000193,3,Main
TR000193,131,Featured
TR000194,3,Main
TR000194,132,Featured
TR000195,3,Main
TR000196,3,Main
TR000197,3,Main
TR000198,3,Main
TR000198,133,Featured
TR000199,97,Main
TR000200,97,Main
TR000200,134,Featured
TR000201,97,Main
TR000202,97,Main
TR000202,87,Featured
TR000203,97,Main
TR000204,97,Main
TR000204,135,Featured
TR000205,97,Main
TR000205,60,Featured
TR000206,97,Main
TR000206,136,Featured
TR000207,97,Main
TR000207,22,Featured
TR000208,97,Main
TR000208,38,Featured
TR000208,57,Featured
TR000209,97,Main
TR000210,97,Main
TR000211,97,Main
TR000212,97,Main
TR000213,97,Main
TR000213,54,Featured
