winter_streams;summer_streams;winter_count;summer_count;region;score_count_ratio;score_streams_ratio
1826780;1242613;205;97;;0,47317073170731705;0,68022038778615923
1677770;644752;43;37;Puglia;0,86046511627906974;0,38429105300488148
2729981;2153258;72;73;Sicilia;1,0138888888888888;0,78874468357105787
50304;71633;10;14;Calabria;1,3999999999999999;1,4240020674300256
721603;942430;106;118;Piemonte;1,1132075471698113;1,3060228408141319
0;10912;0;2;Trentino-Alto Adige;0;0
0;46256;0;9;Toscana;0;0
3080726;1685870;182;103;Veneto;0,56593406593406592;0,54723139935197096
13955309;14235705;796;701;Lombardia;0,8806532663316583;1,0200924250405348
3694360;7676129;277;273;Campania;0,98555956678700363;2,0777966955034159
175156;125932;13;16;Emilia-Romagna;1,2307692307692308;0,71897051770992715
2184056;5448606;102;135;Liguria;1,3235294117647058;2,4947189998791242
918666;440270;89;37;Marche;0,4157303370786517;0,47924925925200235
2749064;633991;143;71;Sardegna;0,49650349650349651;0,2306206767103276
6648944;4806961;316;140;Lazio;0,44303797468354428;0,72296608303514065
